90,0,0,0,0
0,90,0,0,0
0,0,90,0,0
0,0,0,0,90
0,0,0,0,90
0,0,0,90,0
90,0,0,0,0
0,90,0,0,0
0,0,90,0,0
0,90,0,0,0
0,0,0,0,90
0,0,90,0,0
0,0,0,90,0
90,0,0,0,0
0,0,0,90,0
0,90,0,0,0
0,90,-4.996e-15,-0,-0
0,-0,-0,-0,90
90,0,-0,-0,0
-0,90,0,-0,-0
0,-0,0,90,-0
-0,0,90,-0,-0
0,0,-0,90,0
0,-0,-0,0,90
90,0,0,-0,-0
0,0,-4.996e-15,0,90
90,0,0,-0,0
-0,90,0,-0,0
-0,-0,-0,90,-0
-0,90,0,0,0
-0,-0,90,0,0
0,0,0,0,90
-0,90,0,0,-8.793e-13
-0,-0,90,-0,0
0,-0,0,-0,90
90,-0,0,-0,0
-0,-1.6986e-13,0,-4.7212e-13,90
-0,90,0,6.1201e-14,-0
90,0,-0,-0,-0
-0,-0,90,-0,-0
-0,4.996e-14,-0,90,-8.793e-13
-0,2.9976e-14,90,-0,0
0,-0,-0,-0,90
-1.4738e-13,-0,0,90,0
-0,90,-0,-7.494e-13,-0
-0,-6.4448e-13,-0,90,-0
90,-0,-0,-1.199e-13,0
-0,-0,90,-4.4964e-14,-0
0,0,-0,-0,90
90,-0,0,-0,0
0,-0,0,-0,90
90,-0,0,0,-0
-0,90,-0,-0,0
0,-0,90,0,0
-0,-0,-0,90,0
-0,-0,90,-0,-0
-0,-0,-0,90,0
-0,0,0,0,90
-0,90,-0,-0,-0
90,0,-0,0,-0
-0,90,-0,0,0
-0,-0,0,90,0
-0,-0,90,-0,0
-0,90,0,0,-0
-0,90,1.3417e-12,-0,-0
-0,0,0,0,90
-0,-0,0,90,-0
-0,-0,90,-0,0
90,0,0,-0,-0
-0,-0,90,0,-0
-0,90,-0,0,-0
-0,-0,-0,90,-0
-0,90,-0,-0,0
-0,0,-0,-0,90
90,0,-0,-0,-0
-0,-0,90,0,-0
0,0,-0,-0,90
0,90,-0,-0,0
0,-0,-0,90,0
90,0,-0,0,-0
